YEAR,MONTH,Delhi,Mumbai,Chennai,Kolkata
2017,JUN,1021,1038,1014,1051
2017,JUL,1021,1038,1014,1051
2017,AUG,950,996,949,990
2017,SEP,1241,1269,1234,1270
2017,OCT,1134,1168,1132,1169
2017,NOV,1081,1116,1082,1118
2017,DEC,981,1011,981,1018
2018,JAN,929,957,929,970
2018,FEB,906,933,905,946
2018,MAR,923,950,924,966
2018,APR,920,947,922,965
2018,MAY,901,927,903,945
2018,JUN,882,904,881,924
2018,JUL,865,887,864,905
2018,AUG,752,771,750,791
2018,SEP,601,614,607,635
2018,OCT,709,726,705,746
2018,NOV,605,619,600,641
2018,DEC,610,624,606,646
2019,JAN,621,632,614,655
2019,FEB,616,628,609,649
2019,MAR,627,638,620,662
2019,APR,609,624,628,644
2019,MAY,585,599,604,619
2019,JUN,560,573,577,593
2019,JUL,518,527,532,548
2019,AUG,545,555,560,575
2019,SEP,607,619,622,637
2019,OCT,532,531,543,558
2019,NOV,658,671,672,687
2019,DEC,575,586,587,602
2020,JAN,514,523,526,541
2020,FEB,510,517,521,537
2020,MAR,528,530,538,555
2020,APR,549,547,560,577
2020,MAY,538,538,551,566
2020,JUN,487,487,500,514
2020,JUL,467,468,478,491
2020,AUG,491,491,500,513
2020,SEP,530,531,539,551
2020,OCT,584,587,594,606
2020,NOV,639,629,647,658
2020,DEC,585,588,595,606
2021,JAN,652,656,661,672
2021,FEB,738,745,747,758
2021,MAR,723,730,732,742
2021,APR,631,635,639,650
2021,MAY,553,554,560,571
2021,JUN,564,548,574,584
2021,JUL,524,503,533,543
2021,AUG,598,577,608,617
2021,SEP,649,625,657,666
2021,OCT,742,716,750,760
2021,NOV,747,719,756,766
2021,DEC,777,750,792,803
2022,Jan,741,713,751,761
2022,Feb,736,708,746,757
2022,Mar,689,661,700,712
2022,Apr,654,625,664,676
2022,May,651,623,663,674
2022,Jun,699,672,713,724
2022,Jul,754,729,771,782
2022,Aug,790,765,806,818
2022,Sep,820,795,839,849
2022,Oct,879,851,896,907
2022,Nov,941,913,959,971
2022,Dec,810,781,827,837
2023,Jan,666,637,681,692
2023,Feb,689,660,705,714
2023,Mar,659,630,673,683
2023,Apr,702,674,717,728
2023,May,707,679,722,733
2023,Jun,713,685,728,739
2023,Jul,738,710,753,764
2023,Aug,637,609,653,663
2023,Sep,575,547,591,601
2023,Oct,590,562,607,617
2023,Nov,605,575,620,630
2023,Dec,682,651,696,706
2024,Jan,695,665,714,726
2024,Feb,662,653,677,689
2024,Mar,714,685,734,747
2024,Apr,859,830,881,896
2024,May,806,777,826,840
2024,Jun,744,715,762,775
2024,Jul,582,579,570,585
2024,Aug,593,591,607,616
2024,Sep,594,594,611,621
2024,Oct,594,594,611,621
2024,Nov,594,594,610,621
2024,Dec,594,594,610,621
2025,Jan,594,594,610,621
2025,Feb,669,669,685,696
2025,Mar,808,808,824,835
2025,Apr,694,694,710,721
2025,May,761,761,777,787
2025,Jun,819,819,835,846
2025,Jul,809,809,825,836
2025,Aug,809,809,825,836
2025,Sep,809,809,825,836
2025,Oct,835,835,851,861
2025,Nov,860,860,876,886
2025,Dec,885,885,901,911
2026,JAN,900,900,916,926
2026,FEB,1001,1001,1017,1028
2026,MAR,950,950,966,976
2026,APR,1001,1001,1017,1028
2026,MAY,1053,1053,1069,1079
2026,JUN,1060,1065,1070,1075
